species,growth form
sedum_caespitosum,Annual Forb
senecio_paucilobus,Perennial Forb
silene_aucheriana,Perennial Forb
silene_longipetala,Annual Forb
silene_vulgaris,Perennial Forb
sisymbrium_altissimum,Annual Forb
sisymbrium_officinale,Annual Forb
sophora_alopecuroides,Shrub
stachys_byzanthina,Perennial Forb
stachys_inflata,Perennial Forb
stachys_lavandulifolia,Shrub
stachys_persica,Perennial Forb
stellaria_graminea,Annual Forb
stellaria_media,Annual Forb
stipa_barbata,Perennial Grass
stipa_lessingiana,Perennial Grass
taraxacum_montanum,Perennial Forb
taraxacum_serotinum,Perennial Forb
teucrium_macrum,Perennial Forb
teucrium_polium,Perennial Forb
thymus_fallax,Shrub
thymus_kotschyanus,Shrub
torilis_arvensis,Perennial Forb
tragopogon_monanus,Perennial Forb
tragopogon_montanus,Perennial Forb
traxacum_baltistannicum,Perennial Forb
trifolium_pratense,Perennial Forb
trifolium_repense,Perennial Forb
turgenia_latifolia,Perennial Forb
urtica_dioica,Perennial Forb
verbascum_cheiranthifolium,Perennial Forb
verbascum_haesarense,Perennial Forb
verbascum_phlomoides,Perennial Forb
verbascum_pulverulentum,Perennial Forb
verbascumflavidum_boiss,Annual Forb
veronica_bozakmanii,Perennial Forb
veronica_varna,Annual Forb
vicia_ervilla,Perennial Forb
vicia_persica,Perennial Forb
vinca_herbacea,Annual Forb
viola_oderata,Perennial Forb
ziziphora_clinopodioides,Perennial Forb
